name,location,rank,description,tuition_and_fees,in_state,undergrad_enrollment
North Carolina State University--Raleigh,"Raleigh, NC",92,"North Carolina State University, also known as NC State, is the largest four-year college in the state. As such, students have a surplus of choices, from more than 100 programs to major in to more than 400 clubs and organizations to join. The university has a large Greek community that fields more than 20 percent of the student body. For other extracurricular activities, students can check out annual events in Raleigh, such as the North Carolina State Fair and Winterfest. Freshmen are not required to live on campus, though about 80 percent choose to. On the sports fields, NC State is known as The Wolfpack and competes in the NCAA Division I Atlantic Coast Conference. NC State has a variety of academic departments that serve graduate students, too, including a highly ranked engineering school that's particularly well known for its nuclear and biological/agricultural engineering programs; an education program; and the Jenkins Graduate School of Management. Notable NC State graduates include former White House Press Secretary Robert Gibbs and Olympic swimmer and gold medalist Cullen Jones. ",26.399,8.88,24111
University of Colorado--Boulder,"Boulder, CO",92,"The University of Colorado Boulder, called CU_--Boulder for short, lays against the majestic backdrop of the Rocky Mountains. Boulder is a lively college town with more than 80 miles of biking and walking trails. In the evenings, students can travel anywhere within the city limits for free in CU NightRide shuttles, which run until 1:15 a.m. on Fridays and Saturdays and 12:15 a.m. all other nights. On campus, there are more than 300 student clubs and organizations and close to 40 fraternities and sororities. Freshmen must live on campus. The Colorado Buffaloes compete in the NCAA Division I Pac-12 Conference. The student athletes, called Buffs for short, are supported by two buffalo mascots: a costumed student called Chip and a live animal named Ralphie V. The university stresses its commitment to volunteer efforts like Better Boulder Better World, a day of community service in the surrounding neighborhoods. For trips off campus, there are 11 ski slopes within 3 hours of campus, and Rocky Mountain National Park is 45 miles away. A bit closer is Denver, the state capital, where students can catch professional sports matches or concerts in the unique outdoor concert hall, Red Rocks Amphitheatre. ",35.079,11.531,27010
University of Vermont,"Burlington, VT",92,"Nestled between the Adirondack and Green Mountains is the University of Vermont, a quasi-public school founded in 1791. It is known colloquially as UVM, which is Latin for Universitas Viridis Montis, or University of the Green Mountains. Students who want to take advantage of the surrounding nature in Burlington, Vermont, can rent skis, snowshoes, canoes and camping equipment on campus. Students don't have to go far for an adventure, though; UVM has an adventure ropes course and an indoor rock climbing wall. There are more than 170 student organizations on campus, including about 15 fraternities and sororities. Fewer than 10 percent of students go Greek. Freshmen and sophomores must live on campus. The Catamounts athletic teams compete in the NCAA Division I America East Conference, cheered on by a mountain cat mascot named Rally. In Burlington, students can explore the outdoor Church Street Marketplace, a collection of restaurants and boutiques, or relax on the shores of Lake Champlain. For a more urban experience, Montreal and Boston are about 100 and 220 miles away, respectively. ",40.364,17.3,10973
Stony Brook University--SUNY,"Stony Brook, NY",96,"Stony Brook University is one of 64 schools in the State University of New York (SUNY) system. Located on the North Shore of Long Island, the university is accessible by car, train and ferry, and many students choose to commute. Freshmen do not have to live on campus. Academic activity pauses each Wednesday from 1 p.m. to 2:30 p.m. for Campus Life Time, when students can check out free concerts, sample free food and take a break from the rigor of classes. Annually, students gather for events like the Roth Pond Regatta, a race of student-made cardboard boats, and the Shirley Strum Kenny Student Arts Festival, a week of student work showcases. Students can also check out more than 300 student organizations on campus, including more than 30 fraternities and sororities. On the athletic fields, the Stony Brook Seawolves compete in the NCAA Division I America East Conference. For a workout off the field, students can bike and hike around Stony Brook's large, wooded campus, which includes the Ashley Schiff Park Preserve. For an urban experience, New York City is about 60 miles away. ",26.266,9.026,16831
Auburn University,"Auburn, AL",99,"Auburn, Alabama, has been ranked one of the best places to live, and life at Auburn University can be similarly enjoyable for students. Football is a particularly big attraction in the fall, as fans support the Auburn Tigers with the help of school mascot Aubie the Tiger. The Tiger sports teams compete in the NCAA Division I Southeastern Conference, and the influx of football fans makes Auburn the fifth-largest city in the state on game days. Pep rallies are held in the downtown Toomer's Corner, and the area is covered in toilet paper by fans after every big victory. There are more than 300 organizations on campus, and about 6,000 students are involved in the school's Greek system. Auburn freshmen ease into the college transition through Camp War Eagle, a two-day, overnight summer orientation program. Transition help continues on Hey Day, an annual effort to get students to wear name tags and say hello to one another. Freshmen do not have to live on campus; in fact, a dorm room isn't even guaranteed. Because of space restraints, first-year students are awarded on-campus living assignments on a first-come, first-served basis. ",28.84,10.696,21786
SUNY College of Environmental Science and Forestry,"Syracuse, NY",99,"The SUNY College of Environmental Science and Forestry offers students a niche education with the benefits of life at a large institution. ESF, as the small school is known for short, offers about 20 Bachelor of Science degrees ranging from aquatics and fisheries science to paper engineering, as well as a landscape architecture program. Students can get a broader experience, however, through neighbor school Syracuse University. The two institutions, both located in Syracuse, New York, have a collegiate partnership. ESF students can enroll in courses, live in residence halls, use campus facilities and join student organizations at Syracuse University. ESF and Syracuse students even graduate in a joint commencement ceremony each May. All ESF freshmen must live on the school's campus, however. The school has its own array of about 25 clubs. The ESF Mighty Oaks sports teams compete in the United States Collegiate Athletic Association, made up of small schools, and students can take part in club and intramural sports at Syracuse. ESF has an additional campus in the Adirondack Mountains, called the Ranger School, where students can study forest technology. The Ranger School offers associate degree programs, as well as courses toward a bachelor's degree. Earth Day is a weeklong celebration at the environmental school, with events like yoga on the campus quad, student-wide barbecues and volunteer clean-ups of local streams. ",17.62,7.77,1839
University at Buffalo--SUNY,"Buffalo, NY",99,"Founded in 1846, University at Buffalo--SUNY is a public institution. The school has 35.9 percent of its classes with fewer than 20 students, and the student-faculty ratio at University at Buffalo--SUNY is 13:1. ",26.27,9.77,19951
University of Alabama,"Tuscaloosa, AL",103,"As the flagship campus of the University of Alabama system, the Tuscaloosa campus is often referred to as ""The Capstone."" UA students have more than 250 student organizations to get involved in on campus - and freshmen have to live there, too. There are close to 60 fraternities and sororities in the school's influential Greek system, made up of more than 7,000 students. The Alabama Crimson Tide sports teams are notorious competitors in the NCAA Division I Southeastern Conference, cheered on by an costumed elephant mascot named Big Al. There is also a men's and women's wheelchair basketball program. Students can boat and fish in the nearby Black Warrior River. For a road trip, the city of Birmingham is about 60 miles away. ",26.95,10.47,31958
University of Oregon,"Eugene, OR",103,"The University of Oregon, or UO for short, is located in Eugene, a town that bills itself on its strengths in the arts and outdoor activities. Students interested in the arts have a similarly vast array of events to choose from at UO and the surrounding community, from the Oregon Bach Festival to the Cinema Pacific Film Festival. The UO Ducks sports teams compete in the NCAA Division I Pac-12 Conference and draw a considerable amount of fans, especially in track and field and football. The school has a small but thriving Greek life with around 30 fraternities and sororities on campus. On-campus housing is not guaranteed, with spots filled on a first-come, first-served basis. Only about 20 percent of students live on campus, and the majority of these are underclassmen. There is a dual enrollment option for students who want to take courses at both UO and a local community college. While at UO, students can give their rí©sumí©s a boost through the Professional Distinctions Program, which incorporates extra academic concentrations, internships and career workshops. For graduate students, the University of Oregon has a highly ranked College of Education, as well as a law school, business school and other graduate degree programs. UO is also home to more than 30 research centers and institutes, from the Center for the Study of Women in Society to the Northwest Indian Language Institute. Notable alumni of the University of Oregon include Bill Bowerman, cofounder of Nike, Inc., and Ken Kesey, author of ""One Flew Over the Cuckoo's Nest. ",33.442,10.762,20538
University of Tennessee,"Knoxville, TN",103,"The University of Tennessee is a public research institution in Knoxville, one of the state's largest cities, and is the flagship campus for the state school. It has more than 40 fraternities and sororities for students to join. The UT sports teams are known as the Vols and the Lady Vols, short for Volunteers. The teams compete in the NCAA Division I Southeastern Conference, and football season is a particularly big draw at the school. The university helps to manage the U.S. Department of Energy's Oak Ridge National Laboratory, where students and faculty tackle research projects. The University of Tennessee grants graduate degrees through its Graduate School of Business, law school, College of Engineering and College of Education, Health, and Human Sciences, as well as a Space Institute, among other academic departments. Graduates of the University of Tennessee include current and former NFL players Peyton Manning and Reggie White, respectively. ",30.858,12.668,21863
University of New Hampshire,"Durham, NH",107,"The University of New Hampshire is a public institution located in the city of Durham, near the coastline of the state. Students at UNH can choose from more than 100 majors, including graduate studies in the Peter T. Paul College of Business and Economics, the College of Engineering and Physical Sciences, and in the fields of education and law. Even before freshmen undergraduates show up for their first classes, they get a chance to meet their classmates and have some fun through the Pre-Orientation Adventure for Wildcats (PAWs) program. This opportunity allows first year students to camp outdoors and learn from upperclassmen leaders. Once on campus, students can explore more than 200 clubs, join an intramural sports team or eat with friends at one of the dining halls, which often serve locally produced foods. The many UNH Wildcats varsity athletic teams compete in the NCAA Division I within various conferences. Notable UNH alumni include John Irving, who wrote the bestselling novel ""The World According to Garp"" and won an Academy Award for Best Adapted Screenplay of his book ""The Cider House Rules. ",31.424,17.624,13034
University of South Carolina,"Columbia, SC",107,"The University of South Carolina eases its students into the transition to college life, no matter what year they begin to attend. For freshmen, there is University 101, a first-year program pioneered by the school to help students adjust. (They must also spend the first year living on campus.) For students transferring in from technical schools, the University of South Carolina offers the Bridge Program, an academic support system. The school sports teams, the Gamecocks, compete in the NCAA Divsion I Southeastern Conference. The University of South Carolina's college town, Columbia, boasts a variety of entertainment, night life and outdoor options for students to check out after class. Other college towns, including Charlotte, North Carolina, and Charleston, South Carolina, are both less than two hours away. The University of South Carolina also offers graduate programs, including the well-regarded Darla Moore School of Business, a law school, medical school, engineering school and College of Education. The Columbia campus is the flagship location of the University of South Carolina system, and the school runs a variety of research centers, including Center for GIS and Remote Sensing, the Center for Colon Cancer Research and the Center for Digital Humanities. The band Hootie and the Blowfish was started at the University of South Carolina when its members were students. Other notable alumni include U.S. Sen. Lindsey Graham and Gary Parsons, founder of XM Satellite Radio. ",31.282,11.854,25237
Iowa State University,"Ames, IA",111,"Iowa State University dwarfs Ames, the small town in which it resides. The large school offers more than 800 student organizations, and sports are a big part of campus life. The Iowa State Cyclones compete in the NCAA Division I Big 12 Conference and share a special rivalry with the University of Iowa Hawkeyes. Despite the Cyclones moniker, the school mascot is a cardinal named Cy because a cyclone was hard to put into costume form. There are nearly 50 fraternities and sororities at Iowa State, and most chapters have their own houses. Freshmen do not have to live on campus. There are more than 100 undergraduate majors offered at Iowa State, and, through the Soar in 4 initiative, advisers work with students to ensure they graduate in four years. For a study break, students can take a stroll through the roses in Reiman Gardens or check out more than 2,000 works of art around the campus - one of the largest collections at any school in the country. For trips off campus, Des Moines is 30 minutes away. ",21.483,7.969,30034
University of Missouri,"Columbia, MO",111,"Students at the University of Missouri live in a unique botanical garden, with more than 40,000 plants across campus.  than a third of high school seniors from Missouri attend Mizzou each year, and all freshmen must live on campus. As the only Division I-A sports school in the state, the Missouri Tigers teams are a big focus of campus life. The teams compete in the NCAA Division I Southeastern Conference and are particularly competitive in football. The school mascot, Truman the Tiger, is named after former President Harry Truman, who was born in Missouri. Mizzou has more than 600 clubs and organizations for students.  than 20 percent of students join the school's Greek system, which is made up of 50-plus fraternities and sororities. Students also have a vast array of degree options, with more than 280 majors, nearly 70 of which can be completed online. The university's hometown of Columbia is in central Missouri and is host to annual events like the Roots 'n Blues 'n BBQ music festival and Art in the Park, a large creative works showcase. To travel around campus and the town on the weekends, students have free access to STRIPES, a transportation service that delivers riders to their homes from 10 p.m. to 3 a.m. Thursday through Sunday. ",25.892,9.518,27812
University of Nebraska--Lincoln,"Lincoln, NE",111,"There are about 150 majors to choose from at the University of Nebraska--Lincoln, a large, public institution that is committed to research. All freshmen must live on the school's campus in downtown Lincoln and can bring cars if they wish. There are more than 400 student organizations to check out, including a large Greek community with more than 40 fraternities and sororities. The UNL athletic squads, known as the Huskers, compete in the NCAA Division I Big Ten Conference. The University of Nebraska also offers a wide variety of graduate departments, including a College of Law, a College of Business Administration, a College of Engineering and a College of Education and Human Sciences. Notable alumni of the University of Nebraska--Lincoln include investor and philanthropist Warren Buffett and television talk show host Johnny Carson. ",23.148,8.628,20182
University of Oklahoma,"Norman, OK",111,"The University of Oklahoma, known as OU for short, is a large, public research institution in Norman. The OU Sooners are traditionally dominant athletic squads that compete in the NCAA Division I Big 12 Conference, cheered on by the Sooner Schooner mascot, a replica of an old Conestoga covered wagon. About 25 percent of students opt to join the school's large Greek system, made up of more than 40 fraternities and sororities. In addition, there are more than 300 other student clubs and organizations. All freshmen are required to live on the school's campus, which is also home to the National Weather Center. Undergraduates from any major program can apply to conduct research at the National Weather Center during the summer. There are many programs for graduate students, too, including those offered through the Michael F. Price College of Business, the College of Law, College of Medicine and College of Engineering. OU also has a well-regarded physician assistant training program. Many notable athletes, including former football player and coach Darrell Royal and baseball player Greg Dobbs, have graduated from the University of Oklahoma, as did former U.S. House Majority Leader Dick Armey and actress and comedian Olivia Munn. ",21.451,8.065,22132
University of Utah,"Salt Lake City, UT",111,"The University of Utah, known as the U of U or simply The U, is a Salt Lake City center of academics, powerhouse sports and research. Undergraduates interested in university housing can choose from traditional residence halls, two- and four-bedroom apartments and common-interest living communities. The Utah sports teams, the Utes, compete in the NCAA Division I PAC-12 Conference and are rivals with Brigham Young University's teams. The U of U runs a variety of research centers and institutes, including the Brain Institute, the American West Center and the Center for High Performance Computing. The University of Utah's well-regarded S.J. Quinney College of Law, College of Engineering, College of Education and David Eccles School of Business all offer degree programs for graduate students. The U of U School of Medicine, which is particularly well regarded for its primary care program, is the only medical school in the state. Notable alumni of the University of Utah include Alan Ashton, co-founder of WordPerfect; Nolan Bushnell, founder of both Chuck E. Cheese's and video game company Atari Inc.; and John Warnock, co-founder of Adobe Systems Inc. ",27.039,8.518,23794
Michigan Technological University,"Houghton, MI",118,"Michigan Technological University is located in the small town of Houghton on the Keweenaw Peninsula of Lake Superior, about 100 miles north of the Wisconsin border. Students at Michigan Tech can choose from more than 120 undergraduate areas of study, as well as many master's degree programs, including those in the schools of business and engineering. Students at Michigan conduct research, often one-on-one with their professors, and have the opportunity to present what they learned at an undergraduate expo. Enterprise teams, which are groups of students of varying majors who work together to solve real-world problems, also present at the expo. In their free time, Michigan Tech students can participate in more than 200 organizations, Greek life or intramural sports. The university also has many traditions for students to follow, such as the annual Winter Carnival that takes advantage of the area's impressive snowfall with ice sculpture contests, snow volleyball, cross-country ski races and the ""Sno-Ball""dance. Student athletes can try out for the NCAA Division I Michigan Tech Huskies men's hockey team or play for the many other varsity sports teams, which compete in Division II. ",30.968,14.634,5721
Temple University,"Philadelphia, PA",118,"Temple University is a large, urban college in Philadelphia. At Temple, freshmen are not required to live on campus, though most choose to do so. Students have the option to request their desired room assignment through an online system and can search for potential roommates using a matching program available through Facebook. Student fans can root for the Temple Owls sports teams, which compete in the NCAA Division I American Athletic Conference, as well as a variety of professional teams, including the Phillies, Flyers and Eagles. There are around 300 student organizations to check out, and Center City Philadelphia, a hub of shopping and city life, is about two miles from campus.  The school runs a variety of research centers and institutes, including the Innovation & Entrepreneurship Institute, the Center for Sustainable Communities and the Center for Asian Health. Temple University is also home to the Richard J. Fox School of Business and Management, the James E. Beasley School of Law, and schools of medicine, engineering and education, among others. Graduate students can also earn degrees in dentistry, pharmacy and podiatric medicine. Notable alumni of Temple University include actor Bill Cosby and celebrity photographer Jeff Kravitz. ",25.994,15.688,28609
University of California--Riverside,"Riverside, CA",118,"Despite its setting in Southern California, UCR has a distinctly Scottish feel. All residence halls at the University of California--Riverside are named for landmarks in Scotland, including Aberdeen-Inverness and Pentland Hills. Student athletes compete as UCR Highlanders in the NCAA Division I Big West Conference. The school's original mascot was a live Scottish terrier; today, sports teams are supported by a kilt-clad bear named Scotty. Members of the student Pep Band don plaid berets and sashes as they play the ""Brave Scots"" fight song at sports matches, and students who play the bagpipes or drums can join the school's Pipe Band as well. About 70 percent of UCR students are commuters, and freshmen do not have to live on campus. Students may want to hang around after class, however, for notable annual events like the fall Block Party and Spring Splash. There are more than 300 student organizations to check out, too, including about 40 fraternities and sororities. Freshmen can ease into college with the help of the First Year Success Series, a combination of seminars and workshops that teach students study and time management skills. Riverside is in an ideal location for road trips, with Disneyland and Orange County within a 40-mile drive and Los Angeles about 60 miles away. ",40.263,13.581,18608
University of Kansas,"Lawrence, KS",118,"Founded in 1865, University of Kansas is a public institution. University of Kansas follows a semester-based academic calendar and its admissions are considered more selective. ",25.932,10.549,19245
University of Arizona,"Tucson, AZ",124,"As one of the largest public institutions in its state, the University of Arizona in Tucson offers a wide range of activities and academic opportunities to its students. Student athletic supporters form the ZonaZoo, the student section that supports the Arizona Wildcats sports teams, which compete in the NCAA Division I Pac-12 Conference. For athletes who don't compete on the school's teams, there are three levels of intramural sports: the Desert league, which emphasizes fun; the Sunset league, geared to moderate athletes; and the Cactus league, meant for very skilled and competitive athletes. For other ways to get involved, University of Arizona students can check out more than 30 fraternities and sororities, among many other student organizations. Freshmen are not required to live on campus, though first-year students make up about 80 percent of the on-campus residential population. Each year, the university community gathers for events like the Spring Fling, billed as the largest student-run carnival in the country, and Homecoming. As a research institution, the University of Arizona also offers a variety of opportunities for both undergraduate and graduate students to get involved in research projects. The university has a wide range of graduate student programs, including the Eller College of Management, the James E. Rogers College of Law and a College of Medicine. Notable alumni of the University of Arizona include reality television star Kourtney Kardashian and journalist Geraldo Rivera. ",30.025,10.872,33732
Arizona State University--Tempe,"Tempe, AZ",129,"Arizona State University--Tempe, which has one of the largest undergraduate populations in the nation, offers students a wide range of academic and extracurricular options. Collectively, the campuses in Tempe and three other locations in the Phoenix area offer students more than 300 undergraduate academic programs to pick from and more than 500 clubs and organizations to check out. For time away from Arizona, students can choose from more than 250 study abroad options. Freshmen are required to live on campus, unless they commute from a parent's home, are married or fall under other exceptions. The Arizona State Sun Devils sports teams compete in the NCAA Division I Pac-12 Conference and are particularly known for their baseball prowess. Arizona State also offers a wide range of highly ranked graduate programs through schools including the W. P. Carey School of Business, the Sandra Day O'Connor College of Law, the Ira A. Fulton Schools of Engineering and the Mary Lou Fulton Teachers College. Among the scores of notable people who have attended ASU are actor David Spade, talk show host Jimmy Kimmel and baseball star Barry Bonds. ",25.458,10.158,41828
Colorado State University,"Fort Collins, CO",129,"Colorado State University is located in Fort Collins, a midsize city at the base of the Rocky Mountains, less than an hour north of Denver. Colorado State, also known as CSU, offers more than 150 degrees in eight colleges, with graduate programs in the schools of business, engineering and education and the renowned College of Veterinary Medicine and Biomedical Sciences. CSU is considered one of the leading research universities, and faculty and students work together to explore fields such as atmospheric science, infectious diseases, clean energy technologies and environmental science. Outside the classroom and research lab, students can get involved with the more than 350 campus organizations, including about 35 fraternities and sororities. Student athletes can find sports at the recreational, club and varsity level, with the CSU mascot and colors reflecting the school's past. CSU began as an agricultural school, so the sports teams were called the Aggies and their colors were green and gold to represent farming. The school held onto the colors, but the more than 15 varsity sports teams are now called the Rams. They compete in the NCAA Division I Mountain West Conference. ",28.374,11.08,24433
University of Kentucky,"Lexington, KY",133,"The University of Kentucky is located in the city of Lexington, which is about 80 miles south of Cincinnati and 200 miles northeast of Nashville. The university offers many degrees, including about 120 master's programs, such as those in the Gatton College of Business and Economics, the College of Medicine and the College of Law. UK is also home to highly ranked graduate programs in the fields of health and public affairs. Students at UK can make the most of their studies by visiting the James W. Stuckert Career Center, which helps them find internships and jobs. Outside the classroom, University of Kentucky students can get involved by joining nearly 350 clubs, Greek life or the Kentucky Kernel student newspaper. Often called the ""Horse Capital of the World"" because of its race tracks and stables, Lexington can also be a source of fun for students, who can shop, golf, tour a museum, browse the farmers' market or spend a day at the horse track. Student athletes can get involved at the recreational level or try out for the many Kentucky Wildcats varsity teams, which compete in the NCAA Division I Southeastern Conference. Notable alumni include Senate Republican leader Mitch McConnell, who was voted to serve as president of the Student Bar Association while studying law at University of Kentucky. ",26.334,11.484,22705
Kansas State University,"Manhattan, KS",135,"Kansas State University is located in the city of Manhattan, in the northeast region of the state. Students at K-State, as it is known, can choose from more than 250 undergraduate majors and more than 60 master's degree programs, including those in the fields of business, engineering and education. K-State is home to the Biosecurity Research Institute, where students can train to research infectious diseases, and the Landon Lecture Series, which has hosted many prestigious speakers, including five former U.S. presidents. K-State students can join more than 450 organizations, dozens of fraternities and sororities, and student government. It's also easy to stay busy on campus by visiting the school's golf course, insect museum, dairy bar and gardens. Student athletes at K-state can play at the recreational level or try out for one of the many K-State Wildcats varsity sports teams, which compete in the NCAA Division I Big 12 Conference. Notable K-State alumni include actor Eric Stonestreet, who appears on the television show ""Modern Family,"" and chief White House photographer Pete Souza. ",23.429,9.35,19859
Louisiana State University--Baton Rouge,"Baton Rouge, LA",135,"Louisiana State University--Baton Rouge, better known as LSU, is a public school near the Mississippi River, in the southeastern part of the state. Students at LSU can choose from many programs in more than a dozen colleges, with graduate degrees available in the E. J. Ourso College of Business, the College of Engineering, the law school and several other fields. Outside the classroom, LSU students can explore more than 350 student organizations or check out the unique, free facilities nearby, including the 14-acre Hilltop Arboretum or the Louisiana Museum of Natural History. Sports fans can visit the Andonie Museum, which is also free and all about the history of LSU athletics. Student athletes can play at the recreational level or with the LSU Tigers varsity teams, which compete in the NCAA Division I Southeastern Conference. Notable LSU alumni include four-time NBA champion Shaquille O'Neal, and Lyndon Johnson's vice president, Hubert Humphrey. ",27.005,9.842,26156
New Jersey Institute of Technology,"Newark, NJ",135,"Founded in 1881, New Jersey Institute of Technology is a public institution. New Jersey Institute of Technology follows a semester-based academic calendar and its admissions are considered more selective. ",30.326,16.108,8008
Rutgers University--Newark,"Newark, NJ",135,"Rutgers University--Newark is one of several campuses of Rutgers University and is located in the largest city in the state. More than 60 percent of Rutgers University--Newark students complete a degree program in the Newark College of Arts and Sciences. Students aren't required to live on campus, though university housing options exist. The campus is near train, bus, subway and light rail stops, making commuting convenient. There are more than 100 clubs and organizations for interested students to check out, as well as Rutgers University--Newark Scarlet Raiders sports matches against fellow NCAA Division III New Jersey Athletic Conference member schools. Rutgers University--Newark also has a variety of degree programs for graduate students through departments such as the Business School, the School of Law and the highly ranked School of Criminal Justice. Notable alumni of Rutgers University--Newark include Louis Freeh, former director of the Federal Bureau of Investigation; Hazel O'Leary, former U.S. Secretary of Energy; and sports columnist Jerry Izenberg. ",29.48,13.829,7713
University of Arkansas,"Fayetteville, AR",135,"The University of Arkansas, or U of A, is a public institution located in the city of Fayetteville, in the northwest corner of the state. Students at the University of Arkansas can pursue a bachelor's degree in about 75 fields of study, with graduate degrees available in the Sam M. Walton College of Business, the College of Engineering, the School of Law and other fields. U of A students can get involved on campus through several student organizations and media opportunities, including two radio stations and a student newspaper that's been around for more than a century. The Office of Student Activities at U of A plans several free events for students, including concerts featuring Grammy winners such as John Mayer, and lectures by prominent figures such as former President George H.W. Bush. Students who want to venture off the University of Arkansas campus can visit the nearby Ozark National Forest and Buffalo National River or take a weekend trip to Dallas, Memphis or St. Louis, which are each about 300 miles away. Student athletes can join recreational sports or one of the nearly 20 University of Arkansas Razorbacks varsity teams, which compete in the NCAA Division I Southeastern Conference. Notable U of A past faculty include Bill and Hillary Clinton, who each taught in the law school a few decades before landing in the White House, and famed alumni include Charles Portis, who penned the Western novel ""True Grit. ",23.168,8.82,22159
University of Cincinnati,"Cincinnati, OH",135,"The University of Cincinnati is a public school that offers hundreds of programs of study, including graduate degrees in business, law and engineering. The university also has several highly ranked fine arts and health master's programs. Located just east of the uptown campus, the UC Academic Health Center is home to four colleges, patient-care facilities and major research laboratories. This center is famed for offering the first nursing bachelor's degrees in 1916 and developing the first live, attenuated polio vaccine in the 1960s. UC students today have much to do in and outside of the classroom. They can explore more than 300 campus organizations, join Greek life or educate themselves in the Racial Awareness Program (RAPP). Student athletes can get involved at the intramural or club sport level or try out for one of the many Cincinnati Bearcats varsity teams, which compete in the NCAA Division I American Athletic Conference. Notable alumni include Joseph Strauss, who designed the Golden Gate Bridge, and Abe Bookman, who invented the Magic 8-Ball toy. ",26.334,11,25054
University of Mississippi,"University, MS",135,"The University of Mississippi, better known as Ole Miss, is a large public institution in the college town of Oxford. Ole Miss has a large community of fraternities and sororities that about 35 percent of both male and female students join. Sports are another popular outlet for student athletes and fans alike, as the Ole Miss Rebels sports teams compete in the NCAA Division I Southeastern Conference. Freshmen must live on the university's campus in Oxford, a traditional college town with an art scene, restaurants and more to check out. The university is committed to research, with projects in the Center for the Study of Southern Culture, the National Center for Physical Acoustics, the Mississippi Law Research Institute and many . Ole Miss Law is one of many graduate schools the university offers; others include the School of Business Administration, the Ole Miss medical school, an engineering school and an education school. Notable alumni of Ole Miss include NFL players Archie Manning and son Eli Manning and novelist William Faulkner, author of ""The Sound and the Fury. ",22.012,7.744,18785
George Mason University,"Fairfax, VA",143,"George Mason University has three suburban campus locations near the District of Columbia. The school's Fairfax, Virginia, campus is the hub of undergraduate student life. Students can live in traditional coed residence halls, suites and apartments. The school has a sizable commuter population, but there are many ways for all students to get involved. There are more than two dozen fraternities and sororities, as well as hundreds of student clubs and organizations. The Patriot Activities Council plans major events, like Homecoming and Welcome Week. The school's Patriots sports teams are members of the NCAA Division I Atlantic 10 Conference. The university also has a number of graduate schools and programs, including the well-regarded George Mason School of Law. ",32.582,11.3,23062
Oregon State University,"Corvallis, OR",143,"Oregon State University is located in Corvallis, about 90 minutes south of Portland and an hour drive from the Pacific coast. Undergraduates at Oregon State can explore more than 200 academic programs, and graduate students can choose from more than 100 master's programs, including those in the schools of business, engineering and education. Oregon State, often called OSU, is the state's largest public research university, which specializes in studies of marine sciences, forestry, sustainable food systems and . Outside the classroom, OSU students can choose from hundreds of clubs to join, several fraternities and sororities to pledge and many events to attend, such as the Battle of the Bands. Student athletes can play at the intramural level or try out for the many Oregon State Beavers varsity sports teams, which compete in the NCAA Division I Pac-12 Conference. Each year, OSU students gather to compete in the historic ""Civil War"" football game against University of Oregon. ",28.846,10.366,24612
Washington State University,"Pullman, WA",143,"The main campus of Washington State University is located in Pullman, though there are also regional locations throughout the state in Spokane and the Tri-Cities, as well as in Vancouver. The school has a sizeable Greek community that recruits about 20 percent of the student population. In addition to fraternities and sororities, there are about 300 other student clubs and organizations to check out. The school's sports teams, including the Washington State University football squad, compete in the NCAA Division I Pac-12 Conference. Freshmen must live on campus, unless they're older than 20 or are married. Students with children or who are enrolled in graduate school may apply to live in university-owned apartments. The university is committed to research, and there are opportunities for students to get involved in projects as undergraduates. Washington State also offers a wide variety of graduate school options, including degree programs through the College of Business, the College of Engineering and the College of Education. Notable alumni of Washington State University include broadcast journalist Edward R. Murrow and ""Far Side"" cartoonist Gary Larson. ",25.673,11.041,24470
Ohio University,"Athens, OH",146,"Freshmen at Ohio University (OU) in Athens can ease into their college experience through learning communities, or LCs. These clusters of students take courses together and might live together, too. Students can also check out extracurricular activities, including nearly 500 clubs and organizations. With more than 30 fraternities and sororities, Greek life options abound, and about 10 percent of the student body opts to participate. The Ohio Bobcats compete in the NCAA Division I Mid-American Conference and have a traditionally successful men's basketball team. Ohio University students must live on campus until they have completed four semesters. Students who commute from a parent's home within 50 miles of campus are exempt from the housing requirement, as are students who meet other exemption criteria. OU offers a variety of degree programs for graduate students, too, through academic departments including the College of Education, the Russ College of Engineering and Technology and the College of Business. Notable alumni of Ohio University include actress Nancy Cartwright, who voices the character of Bart Simpson on the animated TV show ""The Simpsons""; journalist Matt Lauer, co-anchor of ""The Today Show""; and Roger Ailes, president of Fox News Channel and former campaign strategist for Presidents Richard Nixon, Ronald Reagan and George H.W. Bush. ",21.208,11.744,23513
San Diego State University,"San Diego, CA",146,"Founded in 1897, San Diego State University is a public institution. The school has 28.3 percent of its classes with fewer than 20 students, and the student-faculty ratio at San Diego State University is 28:1. ",18.244,7.084,29234
University at Albany--SUNY,"Albany, NY",146,"The University at Albany, which is part of the State University of New York (SUNY) system, is an institution that offers more than 50 undergraduate majors and about 120 master's programs, including those in the schools of education and business. Many of UAlbany's graduate programs are highly ranked, including criminal justice, social work and specialties offered in the Rockefeller College of Public Affairs and Policy. Ever since the school's early history, students and faculty have embraced Minerva, the Roman goddess of wisdom, as their symbol. Minerva appears on the school seal, and a 7-foot plaster statue of her has stood on campus for more than 100 years. UAlbany students get involved on campus by exploring more than 200 clubs, including several fraternities, sororities and recreational sports teams. Serious student athletes can choose from nearly 20 varsity teams, named the Great Danes, which compete in the NCAA Division I within various conferences. Notable Albany alumni include Harvey Milk, the first openly gay man elected to a major political office in America and the subject of the movie ""Milk,"" starring Sean Penn. ",22.244,9.124,12908
