fiscal_year,service,department,program,expense_category,fund,fund_type,expense_type,description,recommended_amount,approved_amount
2015,Administration,Finance General,Reserves,Recurring Reserve-Street Lighting,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Street Lighting,0,9240000
2015,Administration,Finance General,Reserves,Recurring Reserve-Transit Pass Subsidy,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Transit Pass Subsidy,0,3000000
2015,Administration,Finance General,Reserves,Recurring Reserve-Voter Registration and Pamphlet,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Voter Registration and Pamphlet,0,1400000
2015,Administration,Finance General,Reserves,Seattle Indian Services Commission Debt Service Payment,General Fund,Tax-Supported Fund,Operating Expense,Seattle Indian Services Commission Debt Service Payment,0,440000
2015,Administration,Finance General,Reserves,Sworn Officers Hiring Reserve,General Fund,Tax-Supported Fund,Operating Expense,Sworn Officers Hiring Reserve,0,0
2015,Administration,Finance General,Reserves,Tax Refund Interest Reserve,General Fund,Tax-Supported Fund,Operating Expense,Tax Refund Interest Reserve,0,500000
2015,Administration,Finance General,Reserves,University District Food Bank Building,General Fund,Tax-Supported Fund,Operating Expense,University District Food Bank Building,0,250000
2015,Administration,Finance General,Support to Operating Funds,Department of Education Fund,General Fund,Tax-Supported Fund,Operating Expense,Department of Education Fund,0,12637149
2015,Administration,Finance General,Support to Operating Funds,Drainage and Wastewater Fund,General Fund,Tax-Supported Fund,Operating Expense,Drainage and Wastewater Fund,0,1473026
2015,Administration,Finance General,Support to Operating Funds,Firefighters Pension Fund,General Fund,Tax-Supported Fund,Operating Expense,Firefighters Pension Fund,0,17311984
2015,Administration,Finance General,Support to Operating Funds,Human Services Operating Fund,General Fund,Tax-Supported Fund,Operating Expense,Human Services Operating Fund,0,64382790
2015,Administration,Finance General,Support to Operating Funds,Library Fund,General Fund,Tax-Supported Fund,Operating Expense,Library Fund,0,49749669
2015,Administration,Finance General,Support to Operating Funds,Neighborhood Matching Subfund,General Fund,Tax-Supported Fund,Operating Expense,Neighborhood Matching Subfund,0,1576807
2015,Administration,Finance General,Support to Operating Funds,Parks and Recreation Fund,General Fund,Tax-Supported Fund,Operating Expense,Parks and Recreation Fund,0,92852622
2015,Administration,Finance General,Support to Operating Funds,Planning and Development Fund,General Fund,Tax-Supported Fund,Operating Expense,Planning and Development Fund,0,10478880
2015,Administration,Finance General,Support to Operating Funds,Police Relief and Pension Fund,General Fund,Tax-Supported Fund,Operating Expense,Police Relief and Pension Fund,0,20279340
2015,Administration,Finance General,Support to Operating Funds,Seattle Center Fund,General Fund,Tax-Supported Fund,Operating Expense,Seattle Center Fund,0,12805073
2015,Administration,Finance General,Support to Operating Funds,Solid Waste Fund,General Fund,Tax-Supported Fund,Operating Expense,Solid Waste Fund,0,439000
2015,Administration,Finance General,Support to Operating Funds,Transportation Fund,General Fund,Tax-Supported Fund,Operating Expense,Transportation Fund,0,40576725
2014,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Arts Account,General Fund,Tax-Supported Fund,Operating Expense,Arts Account,0,5839702
2014,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Capital Projects Account,General Fund,Tax-Supported Fund,Operating Expense,Cumulative Reserve Subfund - Capital Projects Account,0,400000
2014,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Revenue Stabilization Account,General Fund,Tax-Supported Fund,Operating Expense,Cumulative Reserve Subfund - Revenue Stabilization Account,0,4292950
2014,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Emergency Subfund,General Fund,Tax-Supported Fund,Operating Expense,Emergency Subfund,0,4623121
2014,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Finance and Administrative Services Fund,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administrative Services Fund,0,25123158
2014,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,General Bond Interest/Redemption Fund,General Fund,Tax-Supported Fund,Operating Expense,General Bond Interest/Redemption Fund,0,16999279
2014,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Housing Operating Fund,General Fund,Tax-Supported Fund,Operating Expense,Housing Operating Fund,0,295000
2014,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Information Technology Fund,General Fund,Tax-Supported Fund,Operating Expense,Information Technology Fund,0,3974939
2014,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Insurance,General Fund,Tax-Supported Fund,Operating Expense,Insurance,0,5100000
2014,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Judgment/Claims Subfund,General Fund,Tax-Supported Fund,Operating Expense,Judgment/Claims Subfund,0,755901
2014,Administration,Finance General,Reserves,Budget System Reserve,General Fund,Tax-Supported Fund,Operating Expense,Budget System Reserve,0,700000
2014,Administration,Finance General,Reserves,Building Code Impact Support,General Fund,Tax-Supported Fund,Operating Expense,Building Code Impact Support,0,150000
2014,Administration,Finance General,Reserves,City Multi-Disciplinary Team (MDT) Reserve,General Fund,Tax-Supported Fund,Operating Expense,City Multi-Disciplinary Team (MDT) Reserve,0,300000
2014,Administration,Finance General,Reserves,Department of Justice Settlement Agreement Public Safety Reserve,General Fund,Tax-Supported Fund,Operating Expense,Department of Justice Settlement Agreement Public Safety Reserve,0,5821522
2014,Administration,Finance General,Reserves,Duwamish Opportunity Fund Support,General Fund,Tax-Supported Fund,Operating Expense,Duwamish Opportunity Fund Support,0,250000
2014,Administration,Finance General,Reserves,Emergency Notification Alert System,General Fund,Tax-Supported Fund,Operating Expense,Emergency Notification Alert System,0,345000
2014,Administration,Finance General,Reserves,EMS Enhancements,General Fund,Tax-Supported Fund,Operating Expense,EMS Enhancements,0,1000000
2014,Administration,Finance General,Reserves,Fire Station 39 Housing Services,General Fund,Tax-Supported Fund,Operating Expense,Fire Station 39 Housing Services,0,950000
2014,Administration,Finance General,Reserves,Gender Wage Equity Reserve,General Fund,Tax-Supported Fund,Operating Expense,Gender Wage Equity Reserve,0,1400000
2014,Administration,Finance General,Reserves,Get Engaged: City Boards and Commissions,General Fund,Tax-Supported Fund,Operating Expense,Get Engaged: City Boards and Commissions,0,33416
2014,Administration,Finance General,Reserves,Gun Violence Research,General Fund,Tax-Supported Fund,Operating Expense,Gun Violence Research,0,0
2014,Administration,Finance General,Reserves,Homeless Families Assistance,General Fund,Tax-Supported Fund,Operating Expense,Homeless Families Assistance,0,450000
2014,Administration,Finance General,Reserves,Human Services Funding Backfill,General Fund,Tax-Supported Fund,Operating Expense,Human Services Funding Backfill,0,525000
2014,Administration,Finance General,Reserves,Immigrant and Refugee Leadership Program,General Fund,Tax-Supported Fund,Operating Expense,Immigrant and Refugee Leadership Program,0,0
2014,Administration,Finance General,Reserves,LEAD Program,General Fund,Tax-Supported Fund,Operating Expense,LEAD Program,0,0
2014,Administration,Finance General,Reserves,License and Tax Portal Reserve,General Fund,Tax-Supported Fund,Operating Expense,License and Tax Portal Reserve,0,0
2014,Administration,Finance General,Reserves,Mentoring Program,General Fund,Tax-Supported Fund,Operating Expense,Mentoring Program,0,0
2014,Administration,Finance General,Reserves,Meridian Health Center,General Fund,Tax-Supported Fund,Operating Expense,Meridian Health Center,0,250000
2014,Administration,Finance General,Reserves,Minimum Wage Study,General Fund,Tax-Supported Fund,Operating Expense,Minimum Wage Study,0,100000
2014,Administration,Finance General,Reserves,Municipal Court Information System Planning Reserve,General Fund,Tax-Supported Fund,Operating Expense,Municipal Court Information System Planning Reserve,0,0
2014,Administration,Finance General,Reserves,Neighborhood Business District Capital Projects,General Fund,Tax-Supported Fund,Operating Expense,Neighborhood Business District Capital Projects,0,250000
2014,Administration,Finance General,Reserves,Paid Sick Leave Reserve,General Fund,Tax-Supported Fund,Operating Expense,Paid Sick Leave Reserve,0,0
2014,Administration,Finance General,Reserves,Police Department Reserve,General Fund,Tax-Supported Fund,Operating Expense,Police Department Reserve,0,0
2014,Administration,Finance General,Reserves,Public Health Reserve,General Fund,Tax-Supported Fund,Operating Expense,Public Health Reserve,0,0
2014,Administration,Finance General,Reserves,Public Toilet Project,General Fund,Tax-Supported Fund,Operating Expense,Public Toilet Project,0,225000
2014,Administration,Finance General,Reserves,Recurring Reserve for Portable Art Rental and Maintenance,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve for Portable Art Rental and Maintenance,0,283802
2014,Administration,Finance General,Reserves,Recurring Reserve-Election Expense,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Election Expense,0,700000
2014,Administration,Finance General,Reserves,Recurring Reserve-Fire Hydrants,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Fire Hydrants,0,8142525
2014,Administration,Finance General,Reserves,Recurring Reserve-Industrial Insurance Pensions Payout,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Industrial Insurance Pensions Payout,0,2000000
2014,Administration,Finance General,Reserves,Recurring Reserve-Office of Professional Accountability Auditor,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Office of Professional Accountability Auditor,0,160745
2014,Administration,Finance General,Reserves,Recurring Reserve-Pacific Science Center Lease Reserve,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Pacific Science Center Lease Reserve,0,120000
2014,Administration,Finance General,Reserves,Recurring Reserve-Puget Sound Clean Air Agency,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Puget Sound Clean Air Agency,0,430000
2014,Administration,Finance General,Reserves,Recurring Reserve-Shooting Review Board Civilian,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Shooting Review Board Civilian,0,5000
2014,Administration,Finance General,Reserves,Recurring Reserve-State Examiner,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-State Examiner,0,768750
2014,Administration,Finance General,Reserves,Recurring Reserve-Street Lighting,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Street Lighting,0,9686259
2014,Administration,Finance General,Reserves,Recurring Reserve-Transit Pass Subsidy,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Transit Pass Subsidy,0,2060587
2014,Administration,Finance General,Reserves,Recurring Reserve-Voter Registration and Pamphlet,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Voter Registration and Pamphlet,0,1295000
2014,Administration,Finance General,Reserves,SDOT Efficiency Study,General Fund,Tax-Supported Fund,Operating Expense,SDOT Efficiency Study,0,0
2014,Administration,Finance General,Reserves,Seattle Housing Authority History Project,General Fund,Tax-Supported Fund,Operating Expense,Seattle Housing Authority History Project,0,20000
2014,Administration,Finance General,Reserves,Seattle Indian Services Commission,General Fund,Tax-Supported Fund,Operating Expense,Seattle Indian Services Commission,0,0
2014,Administration,Finance General,Reserves,Seattle Indian Services Commission Debt Service Payment,General Fund,Tax-Supported Fund,Operating Expense,Seattle Indian Services Commission Debt Service Payment,0,0
2014,Administration,Finance General,Reserves,SODO Arena Proposal,General Fund,Tax-Supported Fund,Operating Expense,SODO Arena Proposal,0,0
2014,Administration,Finance General,Reserves,Sound Transit - Sales Tax Offset,General Fund,Tax-Supported Fund,Operating Expense,Sound Transit - Sales Tax Offset,0,0
2014,Administration,Finance General,Reserves,Tax Refund Interest Reserve,General Fund,Tax-Supported Fund,Operating Expense,Tax Refund Interest Reserve,0,500000
2014,Administration,Finance General,Reserves,Taxicab Regulation Study,General Fund,Tax-Supported Fund,Operating Expense,Taxicab Regulation Study,0,0
2014,Administration,Finance General,Reserves,Transportation Reserve from Rubble Yard Proceeds,General Fund,Tax-Supported Fund,Operating Expense,Transportation Reserve from Rubble Yard Proceeds,0,0
2014,Administration,Finance General,Reserves,University of Washington Reserve,General Fund,Tax-Supported Fund,Operating Expense,University of Washington Reserve,0,500000
2014,Administration,Finance General,Reserves,Yesler Terrace Project Support,General Fund,Tax-Supported Fund,Operating Expense,Yesler Terrace Project Support,0,0
2014,Administration,Finance General,Support to Operating Funds,Department of Education Fund,General Fund,Tax-Supported Fund,Operating Expense,Department of Education Fund,0,0
2013,Administration,Finance General,Reserves,Police Patrol Reserve,General Fund,Tax-Supported Fund,Operating Expense,Police Patrol Reserve,0,1000000
2014,Administration,Finance General,Support to Operating Funds,Drainage and Wastewater Fund,General Fund,Tax-Supported Fund,Operating Expense,Drainage and Wastewater Fund,0,1396287
2014,Administration,Finance General,Support to Operating Funds,Firefighters Pension Fund,General Fund,Tax-Supported Fund,Operating Expense,Firefighters Pension Fund,0,18047538
2014,Administration,Finance General,Support to Operating Funds,Human Services Operating Fund,General Fund,Tax-Supported Fund,Operating Expense,Human Services Operating Fund,0,66562139
2014,Administration,Finance General,Support to Operating Funds,Library Fund,General Fund,Tax-Supported Fund,Operating Expense,Library Fund,0,47999297
2014,Administration,Finance General,Support to Operating Funds,Neighborhood Matching Subfund,General Fund,Tax-Supported Fund,Operating Expense,Neighborhood Matching Subfund,0,3529677
2014,Administration,Finance General,Support to Operating Funds,Parks and Recreation Fund,General Fund,Tax-Supported Fund,Operating Expense,Parks and Recreation Fund,0,88977317
2014,Administration,Finance General,Support to Operating Funds,Planning and Development Fund,General Fund,Tax-Supported Fund,Operating Expense,Planning and Development Fund,0,10626500
2014,Administration,Finance General,Support to Operating Funds,Police Relief and Pension Fund,General Fund,Tax-Supported Fund,Operating Expense,Police Relief and Pension Fund,0,20716054
2014,Administration,Finance General,Support to Operating Funds,Seattle Center Fund,General Fund,Tax-Supported Fund,Operating Expense,Seattle Center Fund,0,13225248
2014,Administration,Finance General,Support to Operating Funds,Solid Waste Fund,General Fund,Tax-Supported Fund,Operating Expense,Solid Waste Fund,0,0
2014,Administration,Finance General,Support to Operating Funds,Transportation Fund,General Fund,Tax-Supported Fund,Operating Expense,Transportation Fund,0,41253065
2013,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Arts Account - Admission Tax for Art Programs,General Fund,Tax-Supported Fund,Operating Expense,Arts Account - Admission Tax for Art Programs,0,4693229
2013,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Capital Projects Account,General Fund,Tax-Supported Fund,Operating Expense,Cumulative Reserve Subfund - Capital Projects Account,0,500000
2013,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Revenue Stabilization Account,General Fund,Tax-Supported Fund,Operating Expense,Cumulative Reserve Subfund - Revenue Stabilization Account,0,4058000
2013,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Emergency Subfund,General Fund,Tax-Supported Fund,Operating Expense,Emergency Subfund,0,0
2013,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Finance and Administrative Services Fund,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administrative Services Fund,0,22003273
2013,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Garage Fund Loan Repayment,General Fund,Tax-Supported Fund,Operating Expense,Garage Fund Loan Repayment,0,2813058
2013,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,General Bond Interest/Redemption Fund,General Fund,Tax-Supported Fund,Operating Expense,General Bond Interest/Redemption Fund,0,13946500.06
2013,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Housing Operating Fund,General Fund,Tax-Supported Fund,Operating Expense,Housing Operating Fund,0,0
2013,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Information Technology Fund,General Fund,Tax-Supported Fund,Operating Expense,Information Technology Fund,0,4609011
2013,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Insurance,General Fund,Tax-Supported Fund,Operating Expense,Insurance,0,5172338.092
2013,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Judgment/Claims Subfund,General Fund,Tax-Supported Fund,Operating Expense,Judgment/Claims Subfund,0,632690
2013,Administration,Finance General,Reserves,3rd Ave Initiative Capital Improvements,General Fund,Tax-Supported Fund,Operating Expense,3rd Ave Initiative Capital Improvements,0,0
2013,Administration,Finance General,Reserves,Budget System Reserve,General Fund,Tax-Supported Fund,Operating Expense,Budget System Reserve,0,200000
2013,Administration,Finance General,Reserves,Department o f Justice Settlement Agreement Public Safety Reserve,General Fund,Tax-Supported Fund,Operating Expense,Department o f Justice Settlement Agreement Public Safety Reserve,0,4587500
2013,Administration,Finance General,Reserves,District Energy Feasibility Study,General Fund,Tax-Supported Fund,Operating Expense,District Energy Feasibility Study,0,175000
2013,Administration,Finance General,Reserves,Fire Station 39 Housing Services,General Fund,Tax-Supported Fund,Operating Expense,Fire Station 39 Housing Services,0,
2013,Administration,Finance General,Reserves,Food Policy Work Coordination,General Fund,Tax-Supported Fund,Operating Expense,Food Policy Work Coordination,0,0
2013,Administration,Finance General,Reserves,Get Engaged: City Boards and Commissions,General Fund,Tax-Supported Fund,Operating Expense,Get Engaged: City Boards and Commissions,0,32696.193
2013,Administration,Finance General,Reserves,License and Tax Portal Reserve,General Fund,Tax-Supported Fund,Operating Expense,License and Tax Portal Reserve,0,0
2013,Administration,Finance General,Reserves,Neighborhood Business District Capital Projects,General Fund,Tax-Supported Fund,Operating Expense,Neighborhood Business District Capital Projects,0,500000
2013,Administration,Finance General,Reserves,Paid Sick Leave Reserve,General Fund,Tax-Supported Fund,Operating Expense,Paid Sick Leave Reserve,0,150000
2013,Administration,Finance General,Reserves,Recurring Reserve for Portable Art Rental and Maintenance,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve for Portable Art Rental and Maintenance,0,275536.33
2013,Administration,Finance General,Reserves,Recurring Reserve-Dues/Memberships,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Dues/Memberships,0,0.4896
2013,Administration,Finance General,Reserves,Recurring Reserve-Election Expense,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Election Expense,0,950000
2013,Administration,Finance General,Reserves,Recurring Reserve-Fire Hydrants,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Fire Hydrants,0,7531213
2013,Administration,Finance General,Reserves,Recurring Reserve-Industrial Insurance Pensions Payout,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Industrial Insurance Pensions Payout,0,2000000
2013,Administration,Finance General,Reserves,Recurring Reserve-Office of Professional Accountability Auditor,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Office of Professional Accountability Auditor,0,153090
2013,Administration,Finance General,Reserves,Recurring Reserve-Pacific Science Center Lease Reserve,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Pacific Science Center Lease Reserve,0,120000
2013,Administration,Finance General,Reserves,Recurring Reserve-Puget Sound Clean Air Agency,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Puget Sound Clean Air Agency,0,420000
2013,Administration,Finance General,Reserves,Recurring Reserve-Shooting Review Board Civilian,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Shooting Review Board Civilian,0,5000
2013,Administration,Finance General,Reserves,Recurring Reserve-State Examiner,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-State Examiner,0,750000
2013,Administration,Finance General,Reserves,Recurring Reserve-Street Lighting,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Street Lighting,0,12363222.83
2013,Administration,Finance General,Reserves,Recurring Reserve-Transit Pass Subsidy,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Transit Pass Subsidy,0,3225000
2013,Administration,Finance General,Reserves,Recurring Reserve-Voter Registration,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Voter Registration,0,995000
2013,Administration,Finance General,Reserves,Retirement Benefit Study,General Fund,Tax-Supported Fund,Operating Expense,Retirement Benefit Study,0,
2013,Administration,Finance General,Reserves,Same-Sex Marriage Inequitable Tax Treatment Reserve,General Fund,Tax-Supported Fund,Operating Expense,Same-Sex Marriage Inequitable Tax Treatment Reserve,0,185000
2013,Administration,Finance General,Reserves,Seattle Arts and Culture Capital Award,General Fund,Tax-Supported Fund,Operating Expense,Seattle Arts and Culture Capital Award,0,
2013,Administration,Finance General,Reserves,Seattle Indian Services Commission,General Fund,Tax-Supported Fund,Operating Expense,Seattle Indian Services Commission,0,50000
2013,Administration,Finance General,Reserves,SODO Arena Proposal,General Fund,Tax-Supported Fund,Operating Expense,SODO Arena Proposal,0,1000000
2013,Administration,Finance General,Reserves,Tax Refund Interest Reserve,General Fund,Tax-Supported Fund,Operating Expense,Tax Refund Interest Reserve,0,500000
2013,Administration,Finance General,Reserves,Transportation Reserve from Rubble Yard Proceeds,General Fund,Tax-Supported Fund,Operating Expense,Transportation Reserve from Rubble Yard Proceeds,0,0
2013,Administration,Finance General,Reserves,University of Washington Reserve,General Fund,Tax-Supported Fund,Operating Expense,University of Washington Reserve,0,500000
2013,Administration,Finance General,Reserves,Yesler Terrace Project Support,General Fund,Tax-Supported Fund,Operating Expense,Yesler Terrace Project Support,0,150000
2013,Administration,Finance General,Support to Community Development,Sound Transit Local Contribution - Sales Tax Offset,General Fund,Tax-Supported Fund,Operating Expense,Sound Transit Local Contribution - Sales Tax Offset,0,
2013,Administration,Finance General,Support to Community Development,Wing Luke Asian Museum,General Fund,Tax-Supported Fund,Operating Expense,Wing Luke Asian Museum,0,
2013,Administration,Finance General,Support to Operating Funds,Drainage and Wastewater Fund,General Fund,Tax-Supported Fund,Operating Expense,Drainage and Wastewater Fund,0,1139072.028
2013,Administration,Finance General,Support to Operating Funds,Firefighters Pension Fund,General Fund,Tax-Supported Fund,Operating Expense,Firefighters Pension Fund,0,18272657.34
2013,Administration,Finance General,Support to Operating Funds,Housing Operating Fund-Supp to Op Fund,General Fund,Tax-Supported Fund,Operating Expense,Housing Operating Fund-Supp to Op Fund,0,
2013,Administration,Finance General,Support to Operating Funds,Human Services Operating Fund,General Fund,Tax-Supported Fund,Operating Expense,Human Services Operating Fund,0,59176360.21
2013,Administration,Finance General,Support to Operating Funds,Library Fund,General Fund,Tax-Supported Fund,Operating Expense,Library Fund,0,48044386.57
2013,Administration,Finance General,Support to Operating Funds,Low Income Housing Fund,General Fund,Tax-Supported Fund,Operating Expense,Low Income Housing Fund,0,0
2013,Administration,Finance General,Support to Operating Funds,Neighborhood Matching Subfund,General Fund,Tax-Supported Fund,Operating Expense,Neighborhood Matching Subfund,0,2891283.542
2013,Administration,Finance General,Support to Operating Funds,Parks and Recreation Fund,General Fund,Tax-Supported Fund,Operating Expense,Parks and Recreation Fund,0,85229625.54
2012,Administration,Finance General,Support to Operating Funds,Transportation Fund,General Fund,Tax-Supported Fund,Operating Expense,Transportation Fund,0,37635725.6
2013,Administration,Finance General,Support to Operating Funds,Planning and Development Fund,General Fund,Tax-Supported Fund,Operating Expense,Planning and Development Fund,0,9651049.776
2013,Administration,Finance General,Support to Operating Funds,Police Relief and Pension Fund,General Fund,Tax-Supported Fund,Operating Expense,Police Relief and Pension Fund,0,18987071
2013,Administration,Finance General,Support to Operating Funds,Seattle Center Fund,General Fund,Tax-Supported Fund,Operating Expense,Seattle Center Fund,0,12966348.16
2013,Administration,Finance General,Support to Operating Funds,Solid Waste Fund,General Fund,Tax-Supported Fund,Operating Expense,Solid Waste Fund,0,
2013,Administration,Finance General,Support to Operating Funds,Transportation Fund,General Fund,Tax-Supported Fund,Operating Expense,Transportation Fund,0,36701168.6
2013,Administration,Finance General,Support to Operating Funds,Water Fund,General Fund,Tax-Supported Fund,Operating Expense,Water Fund,0,
2012,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Arts Account - Admission Tax for Art Programs,General Fund,Tax-Supported Fund,Operating Expense,Arts Account - Admission Tax for Art Programs,0,4967326.515
2012,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Capital Projects Account,General Fund,Tax-Supported Fund,Operating Expense,Cumulative Reserve Subfund - Capital Projects Account,0,500000
2012,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Revenue Stabilization Account,General Fund,Tax-Supported Fund,Operating Expense,Cumulative Reserve Subfund - Revenue Stabilization Account,0,1950000
2012,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Emergency Subfund,General Fund,Tax-Supported Fund,Operating Expense,Emergency Subfund,0,385000
2012,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Finance and Administrative Services Fund,General Fund,Tax-Supported Fund,Operating Expense,Finance and Administrative Services Fund,0,21332015
2012,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Fleets and Facilities Fund,General Fund,Tax-Supported Fund,Operating Expense,Fleets and Facilities Fund,0,0
2012,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,General Bond Interest/Redemption Fund,General Fund,Tax-Supported Fund,Operating Expense,General Bond Interest/Redemption Fund,0,13091563.06
2012,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Housing Operating Fund,General Fund,Tax-Supported Fund,Operating Expense,Housing Operating Fund,0,39472
2012,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Information Technology Fund,General Fund,Tax-Supported Fund,Operating Expense,Information Technology Fund,0,4149718.071
2012,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Insurance,General Fund,Tax-Supported Fund,Operating Expense,Insurance,0,4961250.092
2012,Administration,Finance General,Appropriation to General Fund Subfunds and Special Funds,Judgment/Claims Subfund,General Fund,Tax-Supported Fund,Operating Expense,Judgment/Claims Subfund,0,1191062
2012,Administration,Finance General,Reserves,3rd Ave Initiative Capital Improvements,General Fund,Tax-Supported Fund,Operating Expense,3rd Ave Initiative Capital Improvements,0,350000
2012,Administration,Finance General,Reserves,ARRA Grant,General Fund,Tax-Supported Fund,Operating Expense,ARRA Grant,0,0
2012,Administration,Finance General,Reserves,Census Awareness and Participation Reserve,General Fund,Tax-Supported Fund,Operating Expense,Census Awareness and Participation Reserve,0,0
2012,Administration,Finance General,Reserves,Food Policy Work Coordination,General Fund,Tax-Supported Fund,Operating Expense,Food Policy Work Coordination,0,0
2012,Administration,Finance General,Reserves,Get Engaged: City Boards and Commissions,General Fund,Tax-Supported Fund,Operating Expense,Get Engaged: City Boards and Commissions,0,31961.088
2012,Administration,Finance General,Reserves,License and Tax Portal Reserve,General Fund,Tax-Supported Fund,Operating Expense,License and Tax Portal Reserve,0,1200000
2012,Administration,Finance General,Reserves,Paid Sick Leave Reserve,General Fund,Tax-Supported Fund,Operating Expense,Paid Sick Leave Reserve,0,150000
2012,Administration,Finance General,Reserves,Personnel Services Study,General Fund,Tax-Supported Fund,Operating Expense,Personnel Services Study,0,0
2012,Administration,Finance General,Reserves,Recurring Reserve for Portable Art Rental and Maintenance,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve for Portable Art Rental and Maintenance,0,264185.5271
2012,Administration,Finance General,Reserves,Recurring Reserve-Dues/Memberships,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Dues/Memberships,0,0.4896
2012,Administration,Finance General,Reserves,Recurring Reserve-Election Expense,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Election Expense,0,700000
2012,Administration,Finance General,Reserves,Recurring Reserve-Fire Hydrants,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Fire Hydrants,0,7000089
2012,Administration,Finance General,Reserves,Recurring Reserve-Health Care Reserve,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Health Care Reserve,0,0
2012,Administration,Finance General,Reserves,Recurring Reserve-Industrial Insurance Pensions Payout,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Industrial Insurance Pensions Payout,0,2500000
2012,Administration,Finance General,Reserves,Recurring Reserve-Legal Advertisements,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Legal Advertisements,0,0
2012,Administration,Finance General,Reserves,Recurring Reserve-Office of Professional Accountability Auditor,General Fund,Tax-Supported Fund,Operating Expense,Recurring Reserve-Office of Professional Accountability Auditor,0,145800
